image_rel,session,group,set_label,category,human_reject,assign_shift_px,assign_corr,drift_info_px,contrast_first,spine_drop,unc_dist_px,drift_df_px,drift_local_px,z_match_corr,z_neighbor_corr,bead_fraction,bright_cv,low_assign_corr,low_contrast,low_spine_drop,low_z_match,low_z_neighbor
keep/20260909_cnt_3_pos1__highmag_5_set0.png,20260909,cnt_3_pos1__highmag_5_,0.0,9,False,1.75,0.2689888114095503,12.206555615733702,1.0,1.0,6.432199954986572,11.800423721205949,13.0862523283024,0.2642390484784665,0.9287496126987098,0.11247086247086246,0.881777077031272,-0.2689888114095503,-1.0,-1.0,-0.2642390484784665,-0.9287496126987098
keep/20260909_cnt_3_pos1__highmag_5_set1.png,20260909,cnt_3_pos1__highmag_5_,1.0,9,False,0.5,0.6174164334113694,10.0,2.0,0.75,0.0,10.262187875886896,9.154916711800276,0.744588737675751,0.9520407448483685,0.09454545454545454,0.8098235198387902,-0.6174164334113694,-2.0,-0.75,-0.744588737675751,-0.9520407448483685
keep/20260909_cnt_3_pos1__highmag_6_set0.png,20260909,cnt_3_pos1__highmag_6_,0.0,9,False,2.0155644370746373,0.6270255247995888,10.63014581273465,2.333333333333333,0.8571428571428571,0.0,10.982941318244398,12.22957480863501,0.8526953065159553,0.9418785377765377,0.06523468575974542,0.7056684368882078,-0.6270255247995888,-2.333333333333333,-0.8571428571428571,-0.8526953065159553,-0.9418785377765377
keep/20260909_cnt_3_pos1__highmag_6_set1.png,20260909,cnt_3_pos1__highmag_6_,1.0,9,False,1.5206906325745548,0.5893402017633012,11.6619037896906,0.875,1.1428571428571428,0.0,11.104616157256403,11.236102527122116,0.7904052886983888,0.9474800204829732,0.08480565371024736,0.7189603113467263,-0.5893402017633012,-0.875,-1.1428571428571428,-0.7904052886983888,-0.9474800204829732
keep/20260909_cnt_3_pos1__highmag_7_set0.png,20260909,cnt_3_pos1__highmag_7_,0.0,9,False,1.118033988749895,0.7101278981164273,14.422205101855956,2.0,0.725,0.0,14.075688260259248,14.35705401536123,0.8464533027002075,0.9723829633525538,0.09050772626931568,0.7802346952131323,-0.7101278981164273,-2.0,-0.725,-0.8464533027002075,-0.9723829633525538
keep/20260909_cnt_3_pos1__highmag_7_set1.png,20260909,cnt_3_pos1__highmag_7_,1.0,9,False,1.25,0.5546546741777721,12.649110640673518,2.0,1.5,0.9549999833106996,12.96630247988994,22.0,0.8065975452863148,0.9633646985495935,0.06173725771715721,0.9258144424576944,-0.5546546741777721,-2.0,-1.5,-0.8065975452863148,-0.9633646985495935
keep/20260909_cnt_3_pos1__highmag_7_set2.png,20260909,cnt_3_pos1__highmag_7_,2.0,9,False,1.25,0.5088216352430005,18.68154169226941,1.3333333333333333,1.2500000000000002,0.0,18.200274723201296,17.315094570922792,0.816434438125997,0.9584004532779627,0.0359501100513573,0.928929890444068,-0.5088216352430005,-1.3333333333333333,-1.2500000000000002,-0.816434438125997,-0.9584004532779627
keep/20260909_cnt_3_pos1__highmag_8_set0.png,20260909,cnt_3_pos1__highmag_8_,0.0,9,False,2.5,0.6591781895981438,15.620499351813308,2.0,0.75,1.909999966621399,15.461646096066229,14.0,0.8217634378204595,0.9496747565035126,0.06961178045515395,0.7674120683435235,-0.6591781895981438,-2.0,-0.75,-0.8217634378204595,-0.9496747565035126
keep/20260909_cnt_3_pos1__highmag_8_set2.png,20260909,cnt_3_pos1__highmag_8_,2.0,9,False,2.8284271247461903,0.4168737161047815,14.560219778561036,1.0,1.0,0.0,14.493533040635745,14.467636296230287,0.6723543764507083,0.9634323195089408,0.1176911544227886,0.8533008149892432,-0.4168737161047815,-1.0,-1.0,-0.6723543764507083,-0.9634323195089408
keep/20260909_cnt_4_pos1__highmag_1_set1.png,20260909,cnt_4_pos1__highmag_1_,1.0,9,False,1.9039432764659767,0.5154866858177631,9.433981132056603,1.0,1.0,0.0,9.013878188659971,13.152946437965904,0.8049495911133474,0.9556111065094133,0.054075235109717866,0.8110899084763863,-0.5154866858177631,-1.0,-1.0,-0.8049495911133474,-0.9556111065094133
keep/20260909_cnt_4_pos1__highmag_2_set0.png,20260909,cnt_4_pos1__highmag_2_,0.0,9,False,2.2638462845343543,0.406774610617772,6.324555320336759,2.0,0.5,0.0,6.642665127793212,7.615773105863909,0.7477077004436493,0.9336064799768031,0.016433853738701727,1.4747483934891135,-0.406774610617772,-2.0,-0.5,-0.7477077004436493,-0.9336064799768031
keep/20260909_cnt_4_pos1__highmag_2_set2.png,20260909,cnt_4_pos1__highmag_2_,2.0,9,False,2.1505813167606567,0.4171298894063705,8.48528137423857,1.0,1.5,0.0,9.017344398435716,9.154916711800276,0.7819266478851603,0.940967950508969,0.05989773557341125,1.4803195428839908,-0.4171298894063705,-1.0,-1.5,-0.7819266478851603,-0.940967950508969
keep/20260909_cnt_4_pos1__highmag_3_set1.png,20260909,cnt_4_pos1__highmag_3_,1.0,9,False,2.3717082451262845,0.6124487643735991,13.0,2.0,1.0,0.0,13.372079120316332,11.704699910719626,0.7230012873562702,0.9597494596194758,0.04751131221719457,1.000711487380475,-0.6124487643735991,-2.0,-1.0,-0.7230012873562702,-0.9597494596194758
keep/20260909_cnt_4_pos1__highmag_4_set0.png,20260909,cnt_4_pos1__highmag_4_,0.0,9,False,2.23606797749979,0.7868099235094234,9.0,2.0,1.0,0.0,9.263503656824453,11.2305387226081,0.8117748269435989,0.9774606840671963,0.06001500375093773,1.126947159893727,-0.7868099235094234,-2.0,-1.0,-0.8117748269435989,-0.9774606840671963
keep/20260909_cnt_4_pos1__highmag_4_set1.png,20260909,cnt_4_pos1__highmag_4_,1.0,9,False,1.5206906325745548,0.6352163122442984,9.0,1.0,1.0,0.0,9.25,14.2148689758295,0.4913911011849081,0.9456728641694789,0.10514705882352941,1.16505304213598,-0.6352163122442984,-1.0,-1.0,-0.4913911011849081,-0.9456728641694789
keep/20260909_cnt_4_pos1__highmag_4_set2.png,20260909,cnt_4_pos1__highmag_4_,2.0,9,False,29.74579802257791,0.1882284814905449,5.0,2.0,0.7,7.801499843597412,5.0,8.503675675847475,0.39100568640163724,0.9570029213156322,0.23431734317343172,0.8744694759257782,-0.1882284814905449,-2.0,-0.7,-0.39100568640163724,-0.9570029213156322
